STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-14,23.2,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-15,24.4,"H,,S",,,20,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-16,23.9,"H,,S",29,",,S",18.7,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-17,25.5,"H,,S",,,20.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-18,26.7,"H,,S",,,21.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-19,27.8,"H,,S",,,21.9,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-20,28.7,"H,,S",,,22.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-21,30.1,"H,,S",,,24.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-22,30.7,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-23,31.2,"H,,S",,,25,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-24,31.2,"H,,S",37.6,",,S",26,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-25,21.3,"H,,S",37,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-26,21.6,"H,,S",,,16.9,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-27,21.1,"H,,S",28.2,",,S",15.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-02-28,21.9,"H,,S",,,15.4,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-03-01,24,"H,,S",,,18,",,S"
